FCA AARAU;FCA;AARAU;
FECB BADEN;FECB;BADEN;
BFC BASEL;BFC;BASEL BFC;
SEB BASEL;SEB;BASEL SEB;
AFCB BERN;AFCB;BERN AFCB;
BFG BERN;BFG;BERN BFG;
BFK BERN;BFK;BERN BFK;
FCB BERN;FCB;BERN FCB;
CEB BIENNE BIEL;CEB;BIENNE BIEL;
EEB BULLE;EEB;BULLE;
CHCH CHÂTELAINE;CHCH;CHÂTELAINE;
CSCH CHIASSO;CSCH;CHIASSO;
CEE EPENDES;CEE;EPENDES;
FSF FLAWIL;FSF;FLAWIL;
CEFL FLORIMONT;CEFL;FLORIMONT;
CEF FOUNEX;CEF;FOUNEX;
FKF FRAUENFELD;FKF;FRAUENFELD;
SESAF FRIBOURG;SESAF;FRIBOURG;
SEG GENEVE;SEG;GENEVE;
FGK KÜSSNACHT;FGK;KÜSSNACHT;
SECH LA CHAUX-DE-FONDS;SECH;LA CHAUX-DE-FONDS;
FLT LAUFENTAL;FLT;LAUFENTAL;
CAL LAUSANNE;CAL;LAUSANNE;
CSL LOCARNO;CSL;LOCARNO CSL;
MOS LOCARNO;MOS;LOCARNO MOS;
LUG LUGANO;LUG;LUGANO LUG;
SAL LUGANO;SAL;LUGANO SAL;
FGL LUZERN;FGL;LUZERN FGL;
LFC LUZERN;LFC;LUZERN LFC;
CEM MORGES;CEM;MORGES;
SEN NEUCHATEL;SEN;NEUCHATEL;
FCO OTELFINGEN;FCO;OTELFINGEN;
FZB RIEHEN SCORPIONS;FZB;RIEHEN SCORPIONS;
CER ROMONT;CER;ROMONT;
FGS SCHAFFHAUSEN;FGS;SCHAFFHAUSEN;
FVS SEELAND;FVS;SEELAND;
CES SIERRE;CES;SIERRE;
SES SION;SES;SION;
FKS SOLOTHURN;FKS;SOLOTHURN;
FSS STARZYNSKI;FSS;STARZYNSKI;
FCSG ST. GALLEN;FCSG;ST. GALLEN;
FCT THUN;FCT;THUN;
SEVM VEVEY;SEVM;VEVEY;
WFC WINTERTHUR;WFC;WINTERTHUR;
CEY YVERDON;CEY;YVERDON;
FGZ ZOFINGEN;FGZ;ZOFINGEN;
FZ ZUERICH;FZ;ZUERICH;
FCZ ZUG;FCZ;ZUG;
AFZ ZÜRICH;AFZ;ZÜRICH AFZ;
FCZN ZÜRICH;FCZN;ZÜRICH FCZN;
FSZ ZÜRICH;FSZ;ZÜRICH FSZ;
SEZ ZÜRICH;SEZ;ZÜRICH SEZ;
ZFC ZÜRICH;ZFC;ZÜRICH ZFC;
